year,coef,se,p
2018,0.007158081348853512,0.01388427549260658,0.6061665699750698
2019,0.0032922215696862328,0.01174715182610278,0.7792803357149246
2020,0.013515226349003859,0.01287905593186938,0.29399602094968935
2021,0.009133180879784245,0.011054467439952498,0.4086916805021439
2022,0.0,0.0,1.0
2023,0.015661619077138485,0.007667819720513337,0.04110070203437766
2024,0.01480321021599289,0.008214052150761443,0.0715169043464709
