year,sj3,lsj3
2015,1204.871109,7.094127876718277
2016,1272.323805,7.148600275183477
2017,1666.377681,7.418407496314101
2018,1795.352063,7.492956417066396
2019,2186.610935,7.690108105902542
2020,2430.565755,7.795879330223649
2021,3189.190512,8.067522405583153
2022,4012.287126,8.297116713320646
2023,3901.590722,8.269139626394246
2024,4979.295577,8.51304370961204
