year,coef,se,p
2018,0.017346519460064352,0.008817563641669118,0.04915220887011245
2019,0.011365861360039663,0.010419817505983203,0.27536408868491646
2020,0.017279799986418584,0.010700926532596772,0.10635515042899256
2021,0.011219986290592746,0.011600033928672275,0.333425385469179
2022,0.0,0.0,1.0
2023,0.010695114473676642,0.00378688858773983,0.004739162299393702
2024,0.013157958193197254,0.005456901905140702,0.01589791910574979
