iso3,country,pct_M71_turn_21_24,pct_M71_turn_23_24,pct_M71_emp_21_24,pct_M71_emp_23_24,pct_M71_wage_21_24,pct_M71_wage_23_24,pct_M71_va_21_24,pct_M71_va_23_24,pct_M71_gos_21_24,pct_M71_gos_23_24,pct_F_turn_21_24,pct_F_turn_23_24,pct_F_emp_21_24,pct_F_emp_23_24,pct_F_wage_21_24,pct_F_wage_23_24,pct_F_va_21_24,pct_F_va_23_24,pct_F_gos_21_24,pct_F_gos_23_24,pct_M_turn_21_24,pct_M_turn_23_24,pct_M_emp_21_24,pct_M_emp_23_24,pct_M_wage_21_24,pct_M_wage_23_24,pct_M_va_21_24,pct_M_va_23_24,pct_M_gos_21_24,pct_M_gos_23_24,d_tnlg_M_2324,d_tnlg_F_2324,tnlg_M_2024
AUT,Austria,21.55733098886632,5.293490381738675,3.1303796945366447,-0.02670084374666315,26.287129156985344,6.564370039250722,20.756270689569977,4.970839246312186,14.481552665521313,2.7899333528636383,14.5933664122186,-0.11152986476605786,-0.037435126627149984,-1.9178005954865407,19.48601178453837,4.49144614882635,21.848598318758583,6.511756090040088,26.992448195578245,12.297648592433275,23.33339687208118,4.670158456540485,7.86732977400717,1.0856527967211038,30.226191372591373,5.698876622163596,26.631334941727246,6.370152411214347,23.76326479669313,7.364337088499928,8.209999999999999,2.83,13.94
BEL,Belgium,25.97404262651115,3.392383449304659,7.5231031291495,3.561601364182465,23.72229751030721,0.5774613666696515,21.857898493694748,4.470223095341952,18.266746004760282,9.747853421313145,30.367416334891594,-4.793499916126676,4.8539195834538695,-4.716631341276479,23.2348692493354,1.3279394952071089,26.73103881404728,-18.938366235960334,32.95354007395477,-34.66337125399036,25.931246311920653,1.598479620029991,9.32667261572162,6.42349553762307,21.498727267956006,3.076934037202461,22.312167849874598,11.157667868246168,22.395991020994277,16.644271027083946,11.26,2.93,19.45
CZE,Czechia,31.558510904049374,-1.6072097908548688,6.765692044362126,1.322874944370267,31.94868010420464,3.653621842107091,32.44785839105893,4.570118380392141,34.08357968288096,5.862382968942037,32.1408691551565,-0.4183083892884243,3.446002847231977,-0.5486614780366716,26.903750525537507,1.4611620213784704,34.605197656818,2.0105702051703034,42.20976877796527,1.862632124352337,28.279996200366742,1.1270238997808324,4.482734699405722,-0.4074551059414788,34.006357576111526,2.86819537459464,29.210742251605936,4.335286378221803,22.863260712128763,6.185348041630312,10.260000000000002,1.14,10.71
DEU,Germany,16.490172266304647,-6.3218801360449,2.0154771618108303,2.2390504414868007,25.183843050673673,11.93906623364176,4.730221642464416,-2.153725408807039,-23.207506865448746,-23.3567722988689,12.492521305393023,-0.39625886148850764,-0.4736914474287257,-0.6497257319375227,14.285873162372065,2.7423593132551716,5.758101124871895,0.019876834252929854,-6.8115822184830925,-6.16510690646852,13.829483805029508,0.7887409142638635,3.0129372754089667,2.969600573320208,22.383306078375043,9.499814562853782,5.475139593773681,3.238780526734586,-18.433864673152854,-7.565553600260633,6.299999999999999,2.85,12.28
DNK,Denmark,26.209116323383764,5.901643080548125,15.734147841091662,3.9327443716158372,30.121593476711595,5.684056553401318,24.196619778106587,8.071409427087485,-6.222182056437953,26.53222979255261,10.919773223103068,0.6430801291135602,2.6501929553387704,0.5343519103331529,13.79322162687222,6.308174610507411,7.867048549824984,3.169849841210115,-28.526260515937295,-14.786546786546783,23.427167628737934,5.974940485613867,14.414313733159734,2.5754448541199126,26.95641262004129,4.277018617435058,24.767227014177617,11.732392399349179,9.759457382969439,79.49907286967593,25.690000000000005,5.53,34.06
ESP,Spain,34.99261146496815,7.964413202966014,6.760928737144001,-0.7543363300739347,36.61600813654877,11.398470317228515,42.69394502060593,9.938272489543332,58.96406374223098,9.844726076621168,34.43201073339752,8.788235014698852,1.7898063403128273,-0.817055446713999,17.75922692511711,10.80637503866222,35.63113150415007,15.95394421988896,88.52336944643918,30.571245075100673,30.664341553662556,9.551598350024593,8.097304071990008,1.6420412622181857,36.99881316409379,10.937207242170377,35.53761539730704,11.88077092578521,35.69753772835582,14.983587716387126,7.479999999999999,0.01,11.92
FIN,Finland,17.13893326606688,0.9128261123265702,2.048918968957647,-2.993859752043493,11.607180948642903,0.7203523604918827,7.564477151008275,-0.6579086879996643,-8.788948580199541,-3.900640403648359,-4.987156622534339,-9.398322712780615,-5.848337641501022,-6.144277225523409,0.5854941178391915,-2.8437040717867013,-2.33390776041571,-0.48991886327309775,-10.728654889826917,10.597735121939266,13.620953612663245,1.854486936841404,4.32510928798131,-3.056397985587489,12.710781373537984,0.38593690242763046,6.761550792923043,0.9634249094386815,-13.661437846547553,6.001082219597476,18.85,5.75,30.02
FRA,France,15.494313992682063,6.366918592833382,12.564321447476967,3.5677302723953863,24.95417752900506,7.565507150398654,21.671242278654756,5.764219204635501,11.404357980120604,-1.8041965012542849,12.059105085993327,-0.4685540746959149,3.200062569375306,0.08270478185337105,12.29833643097271,1.8805840413679942,13.631669188679151,1.7839188169976206,22.357873524941517,1.284090599863097,21.16392983078057,4.910740448444728,15.106033382450047,2.414019031503356,20.97941338529372,5.085762325774734,20.76122534121403,5.5438133833282555,20.618742491787568,6.208061879101656,2.64,1.42,3.9
GRC,Greece,74.72573853256826,17.1049818721267,13.215531089605449,5.5805909434146095,77.021425838541,17.49232885408951,81.10934356431012,17.79644253739292,83.26288052923698,17.959136541112454,98.59226169082879,22.167834882986035,25.31320844767928,12.762782108269445,70.60172026577456,24.831066107531296,127.52678846526919,32.16959369282577,187.25069387435988,37.029135773000554,63.060642974043105,10.916818838604492,16.646026052482533,5.933121652482232,70.72052907374396,14.050160642136799,70.37911104728116,14.38645226774935,70.21636797627767,14.590815348966736,5.430000000000001,1.54,7.23
HUN,Hungary,12.959433063138736,-0.17387316015511356,-0.9132282920528145,-0.7567095920086642,42.956417552793155,5.376344086021501,36.73617979997803,3.7834512457705305,33.98811394611274,1.914655481543459,17.099337733998187,-0.33396769166804674,-0.7311390821671537,-3.855915776210894,37.64778839255678,5.791318162702663,19.94302077041028,1.0459176183905239,10.425385506380414,-2.3371155433019375,18.354206589286328,3.055103661069114,-0.4619330566229096,0.5535539982683302,49.32344152232127,10.09177374398249,35.54577416722533,4.618323917181577,24.678734688805903,-1.6012903225806507,3.4400000000000004,0.0,4.2
