freq,size_emp,nace_r2,indic_is,unit,geo,time,value,indic,nace
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2024,6.61,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2025,9.2,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2021,0.0,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2023,0.3,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2024,1.84,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2025,1.75,E_AI_TNLG,F
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2021,2.6,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2023,4.55,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2024,11.51,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2025,17.74,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2021,2.48,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2023,5.98,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2024,12.28,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2025,14.74,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2021,1.69,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2023,1.26,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2024,3.9,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2025,11.8,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2021,3.76,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2023,7.68,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2024,22.01,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2025,30.18,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2021,0.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2023,1.81,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2024,5.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2025,13.58,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2021,3.98,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2023,4.99,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2024,3.73,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2025,8.69,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2021,1.34,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2023,2.85,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2024,9.44,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2025,17.65,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,ES,2021,3.06,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,ES,2023,4.44,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,ES,2024,11.92,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,ES,2025,17.31,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IE,2021,2.85,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IE,2023,5.02,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IE,2024,13.61,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IE,2025,13.29,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,BE,2021,6.59,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,BE,2023,8.19,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,BE,2024,19.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,BE,2025,25.41,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,AT,2021,3.4,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,AT,2023,5.73,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,AT,2024,13.94,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,AT,2025,26.92,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,SE,2021,4.81,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,SE,2023,8.41,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,SE,2024,29.61,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,SE,2025,43.0,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DK,2021,10.56,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DK,2023,8.37,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DK,2024,34.06,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DK,2025,49.96,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PT,2021,4.68,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PT,2023,2.09,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PT,2024,8.32,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PT,2025,11.92,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,CZ,2021,3.49,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,CZ,2023,0.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,CZ,2024,10.71,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,CZ,2025,25.19,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,HU,2021,0.69,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,HU,2023,0.76,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,HU,2024,4.2,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,HU,2025,11.37,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FI,2021,3.88,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FI,2023,11.17,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FI,2024,30.02,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FI,2025,43.6,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EL,2021,0.65,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EL,2023,1.8,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EL,2024,7.23,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EL,2025,13.95,E_AI_TNLG,M
A,GE10,F,E_AI_TPVSG,PC_ENT,EU27_2020,2025,4.47,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,DE,2025,6.92,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,FR,2025,2.89,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,NL,2025,8.02,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,PL,2025,0.48,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,RO,2025,1.78,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,IT,2025,3.01,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,ES,2025,7.52,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,IE,2025,0.62,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,BE,2025,7.62,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,AT,2025,4.69,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,SE,2025,6.29,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,DK,2025,7.36,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,PT,2025,2.81,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,CZ,2025,3.98,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,HU,2025,2.24,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,FI,2025,6.87,E_AI_TPVSG,F
A,GE10,F,E_AI_TPVSG,PC_ENT,EL,2025,0.77,E_AI_TPVSG,F
A,GE10,M,E_AI_TPVSG,PC_ENT,EU27_2020,2025,18.72,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,DE,2025,19.9,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,FR,2025,13.86,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,NL,2025,27.91,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,PL,2025,7.0,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,RO,2025,10.61,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,IT,2025,17.75,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,ES,2025,18.49,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,IE,2025,8.15,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,BE,2025,30.0,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,AT,2025,20.79,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,SE,2025,44.68,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,DK,2025,29.59,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,PT,2025,13.65,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,CZ,2025,17.22,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,HU,2025,12.23,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,FI,2025,46.97,E_AI_TPVSG,M
A,GE10,M,E_AI_TPVSG,PC_ENT,EL,2025,16.51,E_AI_TPVSG,M
A,GE10,F,E_AI_TTM,PC_ENT,EU27_2020,2021,1.43,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EU27_2020,2023,0.98,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EU27_2020,2024,2.81,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EU27_2020,2025,6.09,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DE,2021,1.92,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DE,2023,0.88,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DE,2024,4.81,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DE,2025,6.24,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FR,2021,1.55,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FR,2023,0.58,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FR,2024,0.1,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FR,2025,5.34,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,NL,2021,1.36,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,NL,2023,2.03,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,NL,2024,6.14,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,NL,2025,16.81,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PL,2021,0.13,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PL,2023,0.12,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PL,2024,0.32,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PL,2025,0.48,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,RO,2021,0.02,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,RO,2023,0.06,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,RO,2024,0.1,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,RO,2025,1.41,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IT,2021,1.91,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IT,2023,1.04,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IT,2024,2.9,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IT,2025,7.86,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,ES,2021,1.39,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,ES,2023,0.98,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,ES,2024,1.5,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,ES,2025,4.98,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IE,2023,2.24,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IE,2024,2.09,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,IE,2025,6.34,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,BE,2021,1.81,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,BE,2023,1.5,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,BE,2024,4.24,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,BE,2025,11.62,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,AT,2021,2.83,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,AT,2023,1.9,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,AT,2024,4.31,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,AT,2025,11.26,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,SE,2021,1.12,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,SE,2023,1.01,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,SE,2024,8.11,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,SE,2025,10.54,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DK,2021,2.43,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DK,2023,1.05,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DK,2024,7.04,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,DK,2025,17.26,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PT,2021,0.49,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PT,2023,2.82,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PT,2024,1.33,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,PT,2025,1.75,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,CZ,2021,0.07,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,CZ,2023,0.84,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,CZ,2024,0.96,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,CZ,2025,2.4,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,HU,2021,0.0,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,HU,2023,1.15,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,HU,2024,2.06,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,HU,2025,1.61,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FI,2021,1.57,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FI,2023,1.32,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FI,2024,6.02,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,FI,2025,15.7,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EL,2021,0.0,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EL,2023,0.72,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EL,2024,1.37,E_AI_TTM,F
A,GE10,F,E_AI_TTM,PC_ENT,EL,2025,3.04,E_AI_TTM,F
A,GE10,M,E_AI_TTM,PC_ENT,EU27_2020,2021,6.13,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,EU27_2020,2023,6.92,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,EU27_2020,2024,15.61,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,EU27_2020,2025,25.22,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,DE,2021,7.96,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,DE,2023,7.5,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,DE,2024,18.01,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,DE,2025,26.84,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,FR,2021,4.29,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,FR,2023,5.8,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,FR,2024,8.55,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,FR,2025,19.33,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,NL,2021,6.42,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,NL,2023,9.69,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,NL,2024,23.78,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,NL,2025,38.51,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,PL,2021,1.75,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,PL,2023,0.91,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,PL,2024,4.35,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,PL,2025,3.8,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,RO,2021,6.35,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,RO,2023,5.53,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,RO,2024,6.95,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,RO,2025,11.35,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IT,2021,5.14,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IT,2023,3.95,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IT,2024,13.14,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IT,2025,31.0,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,ES,2021,4.97,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,ES,2023,6.84,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,ES,2024,13.91,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,ES,2025,19.57,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IE,2021,1.69,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IE,2023,4.51,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IE,2024,13.19,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,IE,2025,19.21,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,BE,2021,8.7,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,BE,2023,16.45,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,BE,2024,28.95,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,BE,2025,42.9,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,AT,2021,12.14,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,AT,2023,15.09,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,AT,2024,26.87,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,AT,2025,39.79,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,SE,2021,6.55,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,SE,2023,9.52,E_AI_TTM,M
A,GE10,M,E_AI_TTM,PC_ENT,SE,2024,33.14,E_AI_TTM,M
