year,E_2121,E_3120,E_3114,E_2455,E_2114,Pol_tech_minus_CAD,exposure_weighted_logE
2021,115800.0,72900.0,5500.0,107500.0,26200.0,-2.584340546776188,10.424839932198182
2022,114325.0,78350.0,7150.0,97750.0,27325.0,-2.394073612096113,10.539877198810725
2023,108700.0,66200.0,15050.0,82700.0,34300.0,-1.4813024717480783,10.720979087530234
2024,95925.0,57450.0,23825.0,91075.0,25275.0,-0.8801795547544984,10.792780133365422
2025,97566.66666666667,55533.333333333336,17433.333333333332,105633.33333333333,32966.666666666664,-1.1585993586618653,10.675963413855227
