nace,geo,year,ai_pct,size,indic,unit
M,NL,2023,24.8,GE10,E_AI_TANY,PC_ENT
M,NL,2024,39.78,GE10,E_AI_TANY,PC_ENT
M,NL,2025,54.98,GE10,E_AI_TANY,PC_ENT
M,PL,2021,6.48,GE10,E_AI_TANY,PC_ENT
M,PL,2023,9.05,GE10,E_AI_TANY,PC_ENT
M,PL,2024,14.45,GE10,E_AI_TANY,PC_ENT
M,PL,2025,22.16,GE10,E_AI_TANY,PC_ENT
M,RO,2021,6.68,GE10,E_AI_TANY,PC_ENT
M,RO,2023,7.21,GE10,E_AI_TANY,PC_ENT
M,RO,2024,9.06,GE10,E_AI_TANY,PC_ENT
M,RO,2025,15.6,GE10,E_AI_TANY,PC_ENT
M,IT,2021,8.68,GE10,E_AI_TANY,PC_ENT
M,IT,2023,9.23,GE10,E_AI_TANY,PC_ENT
M,IT,2024,19.56,GE10,E_AI_TANY,PC_ENT
M,IT,2025,35.72,GE10,E_AI_TANY,PC_ENT
M,ES,2021,13.72,GE10,E_AI_TANY,PC_ENT
M,ES,2023,16.14,GE10,E_AI_TANY,PC_ENT
M,ES,2024,26.07,GE10,E_AI_TANY,PC_ENT
M,ES,2025,38.35,GE10,E_AI_TANY,PC_ENT
M,IE,2021,13.59,GE10,E_AI_TANY,PC_ENT
M,IE,2023,15.77,GE10,E_AI_TANY,PC_ENT
M,IE,2024,27.25,GE10,E_AI_TANY,PC_ENT
M,IE,2025,31.76,GE10,E_AI_TANY,PC_ENT
M,BE,2021,20.24,GE10,E_AI_TANY,PC_ENT
M,BE,2023,28.28,GE10,E_AI_TANY,PC_ENT
M,BE,2024,42.92,GE10,E_AI_TANY,PC_ENT
M,BE,2025,57.11,GE10,E_AI_TANY,PC_ENT
M,AT,2021,20.93,GE10,E_AI_TANY,PC_ENT
M,AT,2023,25.82,GE10,E_AI_TANY,PC_ENT
M,AT,2024,39.59,GE10,E_AI_TANY,PC_ENT
M,AT,2025,52.8,GE10,E_AI_TANY,PC_ENT
M,SE,2021,16.47,GE10,E_AI_TANY,PC_ENT
M,SE,2023,20.69,GE10,E_AI_TANY,PC_ENT
M,SE,2024,53.71,GE10,E_AI_TANY,PC_ENT
M,SE,2025,64.88,GE10,E_AI_TANY,PC_ENT
M,DK,2021,39.22,GE10,E_AI_TANY,PC_ENT
M,DK,2023,23.58,GE10,E_AI_TANY,PC_ENT
M,DK,2024,44.9,GE10,E_AI_TANY,PC_ENT
M,DK,2025,63.71,GE10,E_AI_TANY,PC_ENT
M,PT,2021,10.38,GE10,E_AI_TANY,PC_ENT
M,PT,2023,10.68,GE10,E_AI_TANY,PC_ENT
M,PT,2025,25.68,GE10,E_AI_TANY,PC_ENT
M,CZ,2021,9.28,GE10,E_AI_TANY,PC_ENT
M,CZ,2023,9.42,GE10,E_AI_TANY,PC_ENT
M,CZ,2024,22.09,GE10,E_AI_TANY,PC_ENT
M,CZ,2025,33.31,GE10,E_AI_TANY,PC_ENT
M,HU,2021,3.71,GE10,E_AI_TANY,PC_ENT
M,HU,2023,5.24,GE10,E_AI_TANY,PC_ENT
M,HU,2024,17.3,GE10,E_AI_TANY,PC_ENT
M,HU,2025,22.86,GE10,E_AI_TANY,PC_ENT
M,FI,2021,29.63,GE10,E_AI_TANY,PC_ENT
M,FI,2023,31.54,GE10,E_AI_TANY,PC_ENT
M,FI,2024,48.46,GE10,E_AI_TANY,PC_ENT
M,FI,2025,74.75,GE10,E_AI_TANY,PC_ENT
M,EL,2021,9.2,GE10,E_AI_TANY,PC_ENT
M,EL,2023,8.67,GE10,E_AI_TANY,PC_ENT
M,EL,2024,21.02,GE10,E_AI_TANY,PC_ENT
M,EL,2025,30.81,GE10,E_AI_TANY,PC_ENT
