importer,2022,2024,dlog,geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,d_tnlg_M_2324,d_tnlg_M_2124
AUT,0.0,0.0,0.0,AT,AUT,3.4,5.73,13.94,26.92,8.209999999999999,10.54
BEL,0.0,0.0,0.0,BE,BEL,6.59,8.19,19.45,25.41,11.26,12.86
CZE,0.0,0.0,0.0,CZ,CZE,3.49,0.45,10.71,25.19,10.260000000000002,7.220000000000001
DNK,0.0,0.0,0.0,DK,DNK,10.56,8.37,34.06,49.96,25.690000000000005,23.5
FIN,0.0,0.0,0.0,FI,FIN,3.88,11.17,30.02,43.6,18.85,26.14
GRC,0.0,0.0,0.0,EL,GRC,0.65,1.8,7.23,13.95,5.430000000000001,6.58
IRL,0.0,0.0,0.0,IE,IRL,2.85,5.02,13.61,13.29,8.59,10.76
ITA,0.0,0.0,0.0,IT,ITA,1.34,2.85,9.44,17.65,6.59,8.1
NLD,0.2,0.0,-2.9957322735539904,NL,NLD,3.76,7.68,22.01,30.18,14.330000000000002,18.25
POL,0.0,0.0,0.0,PL,POL,0.45,1.81,5.45,13.58,3.64,5.0
PRT,0.0,0.0,0.0,PT,PRT,4.68,2.09,8.32,11.92,6.23,3.6400000000000006
SWE,1.4,1.5,0.06899287148695149,SE,SWE,4.81,8.41,29.61,43.0,21.2,24.8
