importer,partner,year,value,geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,tnlg_F_2021,tnlg_F_2023,tnlg_F_2024,tnlg_F_2025,tml_M_2021,tml_M_2023,tml_M_2024,tml_M_2025,ttm_M_2021,ttm_M_2023,ttm_M_2024,ttm_M_2025,tir_M_2021,tir_M_2023,tir_M_2024,tir_M_2025,tnlg_C_2021,tnlg_C_2023,tnlg_C_2024,tnlg_C_2025,tnlg_J_2021,tnlg_J_2023,tnlg_J_2024,tnlg_J_2025,tnlg_N_2021,tnlg_N_2023,tnlg_N_2024,tnlg_N_2025,tany_C_2021,tany_C_2023,tany_C_2024,tany_C_2025,tany_J_2021,tany_J_2023,tany_J_2024,tany_J_2025,tany_M_2021,tany_F_2021,tany_M_2023,tany_F_2023,tany_M_2024,tany_F_2024,tany_M_2025,tany_F_2025,d_tnlg_M_2124,d_tnlg_M_2324,d_tnlg_F_2124,d_tnlg_F_2324,d_tml_M_2324,d_ttm_M_2324,d_tir_M_2324,d_tany_M_2124,d_tnlg_J_2324,d_tnlg_C_2324,d_tnlg_N_2324,country,logv,post,post24,post_x_d_tnlg_M_2324,p24_x_d_tnlg_M_2324,post_x_d_tnlg_M_2124,p24_x_d_tnlg_M_2124,post_x_d_tnlg_F_2324,p24_x_d_tnlg_F_2324,post_x_d_tml_M_2324,p24_x_d_tml_M_2324,post_x_d_ttm_M_2324,p24_x_d_ttm_M_2324,post_x_d_tir_M_2324,p24_x_d_tir_M_2324,post_x_d_tany_M_2124,p24_x_d_tany_M_2124,post_x_d_tnlg_J_2324,p24_x_d_tnlg_J_2324,post_x_d_tnlg_C_2324,p24_x_d_tnlg_C_2324,post_x_d_tnlg_N_2324,p24_x_d_tnlg_N_2324,post_x_tnlg_M_2024,p24_x_tnlg_M_2024
ROU,PHL,2022,8.080873,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,2.089499911251067,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,VNM,2022,1.874058,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.6281061331772086,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,IND,2021,52.942311,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,3.9692028490384756,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,PHL,2021,7.977753,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,2.0766567928635538,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,VNM,2021,2.207303,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.7917714082906401,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,IND,2024,67.608374,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,4.213731851116598,1.0,1.0,-1.2600000000000002,-1.2600000000000002,-0.25,-0.25,0.02,0.02,1.4999999999999996,1.4999999999999996,1.42,1.42,0.49,0.49,2.380000000000001,2.380000000000001,6.1499999999999995,6.1499999999999995,-0.28,-0.28,1.82,1.82,3.73,3.73
ROU,PHL,2024,11.322534,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,2.426794899314114,1.0,1.0,-1.2600000000000002,-1.2600000000000002,-0.25,-0.25,0.02,0.02,1.4999999999999996,1.4999999999999996,1.42,1.42,0.49,0.49,2.380000000000001,2.380000000000001,6.1499999999999995,6.1499999999999995,-0.28,-0.28,1.82,1.82,3.73,3.73
ROU,VNM,2024,2.028867,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.7074775091634242,1.0,1.0,-1.2600000000000002,-1.2600000000000002,-0.25,-0.25,0.02,0.02,1.4999999999999996,1.4999999999999996,1.42,1.42,0.49,0.49,2.380000000000001,2.380000000000001,6.1499999999999995,6.1499999999999995,-0.28,-0.28,1.82,1.82,3.73,3.73
ROU,IND,2023,43.027884,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,3.7618483706471886,1.0,0.0,-1.2600000000000002,-0.0,-0.25,-0.0,0.02,0.0,1.4999999999999996,0.0,1.42,0.0,0.49,0.0,2.380000000000001,0.0,6.1499999999999995,0.0,-0.28,-0.0,1.82,0.0,3.73,0.0
ROU,PHL,2023,7.390064,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,2.0001363952744367,1.0,0.0,-1.2600000000000002,-0.0,-0.25,-0.0,0.02,0.0,1.4999999999999996,0.0,1.42,0.0,0.49,0.0,2.380000000000001,0.0,6.1499999999999995,0.0,-0.28,-0.0,1.82,0.0,3.73,0.0
ROU,VNM,2023,1.705605,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.5339198865047913,1.0,0.0,-1.2600000000000002,-0.0,-0.25,-0.0,0.02,0.0,1.4999999999999996,0.0,1.42,0.0,0.49,0.0,2.380000000000001,0.0,6.1499999999999995,0.0,-0.28,-0.0,1.82,0.0,3.73,0.0
ESP,IND,2021,90.973139,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,4.510564287119716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,PHL,2021,42.090613,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,3.7398247467058856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,VNM,2021,10.900696,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,2.3888266404075775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,IND,2022,109.442626,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,4.6954004484694085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,PHL,2022,51.236458,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,3.9364513489561834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,VNM,2022,11.999021,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,2.484825063126566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,IND,2023,157.475938,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,5.059272671991285,1.0,0.0,7.4799999999999995,0.0,8.86,0.0,0.010000000000000009,0.0,5.12,0.0,7.07,0.0,1.62,0.0,12.35,0.0,8.14,0.0,1.13,0.0,1.7400000000000002,0.0,11.92,0.0
ESP,PHL,2023,54.904546,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,4.005596150187514,1.0,0.0,7.4799999999999995,0.0,8.86,0.0,0.010000000000000009,0.0,5.12,0.0,7.07,0.0,1.62,0.0,12.35,0.0,8.14,0.0,1.13,0.0,1.7400000000000002,0.0,11.92,0.0
ESP,VNM,2023,20.304951,ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain,3.0108647479366297,1.0,0.0,7.4799999999999995,0.0,8.86,0.0,0.010000000000000009,0.0,5.12,0.0,7.07,0.0,1.62,0.0,12.35,0.0,8.14,0.0,1.13,0.0,1.7400000000000002,0.0,11.92,0.0
