importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
ESP,PHL,2023,54.904546,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,16.14,4.63,4.005596150187514,4.698826252673359,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,VNM,2023,20.304951,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,16.14,4.63,3.0108647479366297,3.704617745496522,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,IND,2024,188.425081,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,26.07,4.43,5.2387004796087036,5.931854701552183,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,PHL,2024,70.75877,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,26.07,4.43,4.259276486438412,4.952473595316088,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,VNM,2024,19.050867,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,26.07,4.43,2.9471126123481026,3.640947909836079,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,IND,2019,158.685887,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,5.066926694781492,5.760083803230915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,PHL,2019,44.806463,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,3.8023523924088343,4.495624075327073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,VNM,2019,12.01643,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,2.4862748800006633,3.181148948141867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,IND,2020,107.524021,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,4.677714273769015,5.3708830772781875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,PHL,2020,37.847455,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,3.6335637385210906,4.326885402024926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,VNM,2020,10.093984,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,2.311939602816755,3.0075314638838075,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,IND,2018,228.523218,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,5.431637815675544,6.124789783376586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,PHL,2018,31.796124,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,3.4593443955648797,4.152738765963341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,VNM,2018,9.601113,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,2.2618790292535578,2.9577272877752376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL,IND,2024,911.385056,IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998,27.25,6.24,6.814965481943105,7.508112963481919,1.0,1.0,13.66,5.970000000000001,27.25,6.24,21.009999999999998,13.66
IRL,PHL,2024,371.372268,IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998,27.25,6.24,5.917204977310072,6.610353970544779,1.0,1.0,13.66,5.970000000000001,27.25,6.24,21.009999999999998,13.66
IRL,VNM,2024,68.678458,IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998,27.25,6.24,4.229435583826149,4.922635762987846,1.0,1.0,13.66,5.970000000000001,27.25,6.24,21.009999999999998,13.66
IRL,VNM,2023,51.86452,IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998,15.77,5.92,3.9486349340448603,4.641875040926462,1.0,1.0,13.66,5.970000000000001,27.25,6.24,21.009999999999998,13.66
POL,IND,2019,31.608758,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,3.453434234092108,4.146831542588849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,IND,2018,30.247774,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,3.409422594992351,4.102842909220711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,PHL,2018,16.524008,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,2.8048143536786756,3.4988758865207576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,VNM,2018,2.283476,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,0.8256988434059457,1.5636700158148849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
