REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
GBR,IND,M,SJ3,2021,3189.190512,B,USD_EXC,I,GBR.IND.M.S.SJ3.A.USD_EXC.B
GBR,IND,M,SJ3,2022,4012.287126,B,USD_EXC,I,GBR.IND.M.S.SJ3.A.USD_EXC.B
GBR,IND,M,SJ3,2023,3901.590722,B,USD_EXC,I,GBR.IND.M.S.SJ3.A.USD_EXC.B
GBR,IND,M,SJ3,2024,4979.295577,B,USD_EXC,I,GBR.IND.M.S.SJ3.A.USD_EXC.B
GBR,W,M,SE,2015,2705.312794,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2016,3404.393042,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2017,3831.441474,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2018,4639.913292,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2019,4561.805311,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2020,4891.924589,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2021,4821.628239,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2022,4129.801336,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2023,4565.673696,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SE,2024,4740.750918,B,USD_EXC,I,GBR.W.M.S.SE.A.USD_EXC.B
GBR,W,M,SI,2015,30059.535227,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2016,29836.254186,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2017,31820.216269,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
GBR,W,M,SI,2018,36923.736889,B,USD_EXC,I,GBR.W.M.S.SI.A.USD_EXC.B
