DATE,SOC2020_FULL,SOC2020_FULL_NAME,OBS_VALUE,OBS_STATUS,soc,name,date,emp
2024-06,143,3114 : Building and civil engineering technicians,24500,A,3114,Building and civil engineering technicians,2024-06-01,24500
2024-06,147,"3120 : CAD, drawing and architectural technicians",57800,A,3120,"CAD, drawing and architectural technicians",2024-06-01,57800
2024-09,49,2121 : Civil engineers,93900,A,2121,Civil engineers,2024-09-01,93900
2024-09,123,2453 : Quantity surveyors,45000,A,2453,Quantity surveyors,2024-09-01,45000
2024-09,125,2455 : Construction project managers and related professionals,90300,A,2455,Construction project managers and related professionals,2024-09-01,90300
2024-09,143,3114 : Building and civil engineering technicians,22300,A,3114,Building and civil engineering technicians,2024-09-01,22300
2024-09,147,"3120 : CAD, drawing and architectural technicians",59800,A,3120,"CAD, drawing and architectural technicians",2024-09-01,59800
2024-12,49,2121 : Civil engineers,94000,A,2121,Civil engineers,2024-12-01,94000
2024-12,123,2453 : Quantity surveyors,46300,A,2453,Quantity surveyors,2024-12-01,46300
2024-12,125,2455 : Construction project managers and related professionals,98300,A,2455,Construction project managers and related professionals,2024-12-01,98300
2024-12,143,3114 : Building and civil engineering technicians,22300,A,3114,Building and civil engineering technicians,2024-12-01,22300
2024-12,147,"3120 : CAD, drawing and architectural technicians",58200,A,3120,"CAD, drawing and architectural technicians",2024-12-01,58200
2025-03,49,2121 : Civil engineers,94100,A,2121,Civil engineers,2025-03-01,94100
2025-03,123,2453 : Quantity surveyors,47200,A,2453,Quantity surveyors,2025-03-01,47200
2025-03,125,2455 : Construction project managers and related professionals,102100,A,2455,Construction project managers and related professionals,2025-03-01,102100
2025-03,143,3114 : Building and civil engineering technicians,18000,A,3114,Building and civil engineering technicians,2025-03-01,18000
2025-03,147,"3120 : CAD, drawing and architectural technicians",56800,A,3120,"CAD, drawing and architectural technicians",2025-03-01,56800
2025-06,49,2121 : Civil engineers,99400,A,2121,Civil engineers,2025-06-01,99400
2025-06,123,2453 : Quantity surveyors,48600,A,2453,Quantity surveyors,2025-06-01,48600
2025-06,125,2455 : Construction project managers and related professionals,102500,A,2455,Construction project managers and related professionals,2025-06-01,102500
2025-06,143,3114 : Building and civil engineering technicians,17000,A,3114,Building and civil engineering technicians,2025-06-01,17000
2025-06,147,"3120 : CAD, drawing and architectural technicians",54300,A,3120,"CAD, drawing and architectural technicians",2025-06-01,54300
2025-09,49,2121 : Civil engineers,99200,A,2121,Civil engineers,2025-09-01,99200
2025-09,123,2453 : Quantity surveyors,54200,A,2453,Quantity surveyors,2025-09-01,54200
2025-09,125,2455 : Construction project managers and related professionals,112300,A,2455,Construction project managers and related professionals,2025-09-01,112300
2025-09,143,3114 : Building and civil engineering technicians,17300,A,3114,Building and civil engineering technicians,2025-09-01,17300
2025-09,147,"3120 : CAD, drawing and architectural technicians",55500,A,3120,"CAD, drawing and architectural technicians",2025-09-01,55500
