dataset,nace,nace_label,indic,indic_label,geo,year,value
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,AT,2021,3213.92
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,AT,2022,3499.86
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,AT,2023,3729.72
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,AT,2024,3981.95
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,BE,2021,3136.13
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,BE,2022,3389.15
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,BE,2023,3806.38
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,BE,2024,3914.82
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,CZ,2021,1509.87
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,CZ,2022,1683.61
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,CZ,2023,1894.61
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,CZ,2024,1988.68
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DE,2021,43698.2
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DE,2022,33701.78
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DE,2023,46621.56
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DE,2024,45401.14
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DK,2021,3688.61
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DK,2022,3977.65
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DK,2023,4272.92
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,DK,2024,4735.3
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EL,2021,918.53
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EL,2022,1141.82
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EL,2023,1432.79
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EL,2024,1748.74
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,ES,2021,8292.94
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,ES,2022,9289.7
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,ES,2023,11143.05
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,ES,2024,12146.69
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EU27_2020,2021,125054.3
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EU27_2020,2022,124698.22
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,EU27_2020,2023,147964.98
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FI,2021,2843.2
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FI,2022,2977.25
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FI,2023,3156.21
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FI,2024,3127.17
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FR,2021,19791.83
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FR,2022,21669.9
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FR,2023,23326.72
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,FR,2024,24493.44
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,HU,2021,1031.55
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,HU,2022,1153.56
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,HU,2023,1433.51
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,HU,2024,1502.25
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IE,2021,2173.79
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IE,2022,2799.03
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IE,2023,3257.35
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IE,2024,3169.49
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IT,2021,10395.63
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IT,2022,12757.44
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IT,2023,14568.64
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,IT,2024,15483.47
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,NL,2021,9324.05
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,NL,2022,9957.57
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,NL,2023,10796.49
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,NL,2024,12430.14
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PL,2021,2443.48
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PL,2022,2673.87
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PL,2023,2817.41
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PL,2024,3437.28
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PT,2021,1116.91
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PT,2022,1294.05
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PT,2023,1572.4
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,PT,2024,1828.31
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,RO,2021,1092.58
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,RO,2022,1642.95
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,RO,2023,1995.94
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,RO,2024,2138.48
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,SE,2021,7535.05
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,SE,2022,7768.22
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,SE,2023,8435.97
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,AV_MEUR,Value added - million euro,SE,2024,8869.19
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,AT,2021,46424.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,AT,2022,47539.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,AT,2023,48298.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,AT,2024,48422.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,BE,2021,36440.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,BE,2022,36623.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,BE,2023,38163.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,BE,2024,39332.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,CZ,2021,52364.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,CZ,2022,54007.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,CZ,2023,55558.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,CZ,2024,56570.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DE,2021,507024.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DE,2022,479915.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DE,2023,518606.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DE,2024,523062.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DK,2021,36810.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DK,2022,39049.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DK,2023,41923.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,DK,2024,44106.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EL,2021,55993.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EL,2022,57063.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EL,2023,59756.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EL,2024,63616.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,ES,2021,161479.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,ES,2022,165577.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,ES,2023,183063.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,ES,2024,183411.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EU27_2020,2021,1994931.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EU27_2020,2022,2036566.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,EU27_2020,2023,2129303.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FI,2021,39015.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FI,2022,41222.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FI,2023,41859.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FI,2024,40757.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FR,2021,265720.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FR,2022,287029.0
sbs_ovw_act,M7112,Engineering activities and related technical consultancy,EMP_NR,Persons employed - number,FR,2023,294530.0
